wellName,MD,CALI,DT,GR,NPHI,RHOB,PHIF,SW,RACEHM_LOG
15/9-F-1 A,3453.2,8.6718,83.2486,54.0171,0.2234,2.4198,0.1315,0.7249,0.09286094333881736
15/9-F-1 A,3453.3,8.625,83.1955,55.0645,0.2241,2.4114,0.1363,0.6162,0.11417714024444867
15/9-F-1 A,3453.4,8.625,83.1318,57.8691,0.2236,2.4077,0.1385,0.6127,0.15703344966120222
15/9-F-1 A,3453.5,8.625,83.0129,61.3142,0.2232,2.4129,0.1355,0.6644,0.14235817576384555
15/9-F-1 A,3453.6,8.6251,82.8939,64.8741,0.2227,2.4264,0.1278,0.7155,0.11571033801237936
15/9-F-1 A,3453.7,8.6719,82.7479,68.6775,0.2297,2.4452,0.1171,0.7736,0.0973961506415025
15/9-F-1 A,3453.8,8.6719,82.3907,75.192,0.2402,2.4668,0.1047,0.8502,0.08529057823006501
15/9-F-1 A,3453.9,8.6718,82.0334,83.7442,0.2538,2.4896,0.0917,0.9502,0.11032029684029686
15/9-F-1 A,3454.0,8.625,81.6633,91.1352,0.2625,2.5099,0.0801,1.0,0.17614916112654938
15/9-F-1 A,3454.1,8.6249,81.1083,92.5951,0.2703,2.5254,0.0712,1.0,0.24571002954529153
15/9-F-1 A,3454.2,8.5782,80.5534,88.9875,0.2674,2.5319,0.0675,0.9054,0.2662081698076912
15/9-F-1 A,3454.3,8.625,80.0081,82.4449,0.2611,2.5243,0.0718,0.8315,0.0898698015095518
15/9-F-1 A,3454.4,8.6249,79.9966,70.0421,0.2499,2.4982,0.0867,1.0,-0.1015490808016253
15/9-F-1 A,3454.5,8.5858,79.985,56.7585,0.2419,2.4589,0.1091,1.0,-0.16058480731610647
15/9-F-1 A,3454.6,8.5468,79.9738,43.3204,0.2297,2.416,0.1337,1.0,-0.20929271267232025
